time,I_high,I_sem
0,-0.0,0.008767838958375095
1,-0.3265,0.013100572506573909
2,-0.353,0.0059895742753554625
3,-0.056000000000000015,0.02104459550573497
4,0.277,0.01970723217501636
5,0.352,0.010822430410956674
6,0.10900000000000001,0.0068282501418738374
7,-0.24599999999999997,0.0066895440801298285
8,-0.38349999999999995,0.011363318177363517
9,-0.14900000000000002,0.014155387666892056
10,0.179,0.006642665127793204
11,0.362,0.006393355926272216
12,0.19149999999999998,0.006204836822995412
13,-0.14900000000000002,0.018884517468021257
14,-0.3375,0.019811612756158954
15,-0.24950000000000006,0.010074720839804941
16,0.09949999999999999,0.0033911649915626327
17,0.34850000000000003,0.008645808232895274
18,0.26849999999999996,0.005947688626685146
19,-0.05199999999999996,0.009199184746487048
20,-0.293,0.013495369576265773
21,-0.2934999999999999,0.0041533119314590364
22,0.0054999999999999945,0.00930053761886913
23,0.27499999999999997,0.006274950199005562
24,0.2899999999999999,0.017871066000661497
25,0.042499999999999996,0.01118033988749895
26,-0.248,0.009532837982468824
27,-0.3095,0.005385164807134506
28,-0.08100000000000002,0.011847995611072781
29,0.20549999999999993,0.00788194138521723
30,0.3165,0.008463155439905388
31,0.14250000000000002,0.01343968005571561
32,-0.19549999999999995,0.008888194417315587
33,-0.3125,0.007288689868556627
34,-0.16899999999999998,0.005454356057317861
35,0.10600000000000001,0.00930725523449314
36,0.31200000000000006,0.009532837982468805
37,0.19700000000000004,0.004703721930556687
38,-0.11450000000000002,0.011869077470469218
39,-0.2915,0.011527141883398507
40,-0.2245,0.004358898943540686
41,0.0625,0.013062350477613137
42,0.2925,0.006020797289396154
43,0.25850000000000006,0.007566372975210782
44,-0.009999999999999998,0.012673791855636586
45,-0.25249999999999995,0.00915150260886156
46,-0.271,0.009956153875869948
47,-0.04199999999999998,0.00747495819386303
48,0.22049999999999997,0.009199184746487048
49,0.27,0.005755432216610663
50,0.0895,0.008746427842267951
51,-0.20600000000000002,0.010653637876331265
52,-0.28700000000000003,0.00624499799839839
53,-0.126,0.007524958471646205
54,0.16200000000000003,0.010074720839804934
55,0.29599999999999993,0.008536685539481944
56,0.13899999999999996,0.01402230366238015
57,-0.16600000000000004,0.008200609733428366
58,-0.2845000000000001,0.003657184709581939
59,-0.15199999999999997,0.010043654713300328
60,0.09449999999999997,0.007762087348130004
61,0.279,0.005733672470589854
62,0.19449999999999998,0.013071916462401374
63,-0.0455,0.01490385856078886
64,-0.247,0.008565920849505903
65,-0.22399999999999998,0.022313112736684678
