time,I_low,I_sem
0,0.021999999999999992,0.02130727575266252
1,-0.3035,0.013242922638149024
2,-0.35,0.006174544517614227
3,-0.08449999999999999,0.011602801385872283
4,0.268,0.022324314099205808
5,0.3384999999999999,0.011900630235411904
6,0.10000000000000003,0.011096170510586074
7,-0.22050000000000003,0.005442885264269294
8,-0.36849999999999994,0.011252777434926895
9,-0.15350000000000003,0.010325938214031688
10,0.205,0.017410485346480153
11,0.357,0.008852965604812892
12,0.21500000000000005,0.009842509842514748
13,-0.13249999999999998,0.0217514367341562
14,-0.351,0.004077376607575017
15,-0.23650000000000002,0.009171968163922075
16,0.08650000000000002,0.010356157588603998
17,0.31999999999999995,0.00656696276828184
18,0.26599999999999996,0.014439529078193646
19,-0.0595,0.010167349703831378
20,-0.3354999999999999,0.006680194607943685
21,-0.3045,0.010198039027185572
22,-0.0145,0.017453509675707066
23,0.2985,0.011028372500056394
24,0.30399999999999994,0.009829801625668736
25,0.062,0.01869826195131515
26,-0.25950000000000006,0.010228636272739407
27,-0.33000000000000007,0.007984359711335653
28,-0.09499999999999999,0.014790199457749042
29,0.226,0.011527141883398486
30,0.3275,0.008253787009609572
31,0.14400000000000002,0.01839836949297409
32,-0.18849999999999997,0.007053367989832928
33,-0.3420000000000001,0.007348469228349527
34,-0.1825,0.01140175425099136
35,0.16550000000000004,0.007044501401802673
36,0.3480000000000001,0.0069999999999999915
37,0.22599999999999998,0.008007808689023475
38,-0.0975,0.014769055487741939
39,-0.33550000000000013,0.002150581316760647
40,-0.2465,0.008536685539481923
41,0.0655,0.015937377450509223
42,0.29599999999999993,0.0033166247903554024
43,0.26749999999999996,0.01449137674618944
44,-0.0019999999999999966,0.018326892808111242
45,-0.27949999999999997,0.0035707142142714305
46,-0.3065,0.008645808232895302
47,-0.04300000000000001,0.005667892024377313
48,0.25649999999999995,0.008895223437328596
49,0.3025,0.006224949798994366
50,0.091,0.019868316486305528
51,-0.21650000000000003,0.011608186766243886
52,-0.3065,0.01088577052853862
53,-0.13399999999999998,0.008965210538520538
54,0.15600000000000003,0.010325938214031695
55,0.3035,0.004847679857416325
56,0.172,0.008455767262643875
57,-0.14650000000000005,0.013242922638149036
58,-0.30999999999999994,0.014208272238382814
59,-0.1875,0.015471748446765791
60,0.0865,0.01041633332799983
61,0.29400000000000004,0.013476831971943552
62,0.22049999999999997,0.005777110004145662
63,-0.0535,0.014718186029535014
64,-0.261,0.0053385391260156595
65,-0.25750000000000006,0.009874208829065746
