Time(us),I
0.0,-0.0
0.25,-0.0
0.5,-0.09269518816055491
0.75,-0.17945798912300703
1.0,-0.2549110642213671
1.25,-0.31438844438181446
1.5,-0.35422543915281995
1.75,-0.3719843670542738
2.0,-0.3666034076224527
2.25,-0.33846029935714816
2.5,-0.28934566994717725
2.75,-0.22234972364787015
3.0,-0.1416675151185801
3.25,-0.052336866481734065
3.5,0.040077576720658196
3.75,0.12982939208803917
4.0,0.21134841366060145
4.25,0.27958622509804565
4.5,0.3303290887878129
4.75,0.36045798361419246
5.0,0.3681398510808042
5.25,0.35293954483398005
5.5,0.31584418667365743
5.75,0.25919877937296726
6.0,0.1865588708897845
6.25,0.10246669545940468
6.5,0.012167215562703866
6.75,-0.07871883282378465
7.0,-0.16454474622087506
7.25,-0.2399887214091191
7.5,-0.3003843168634531
7.75,-0.34200753228708247
8.0,-0.3623083051133294
8.25,-0.3600655301894913
8.5,-0.33546082490997514
8.75,-0.29006446217224247
9.0,-0.226735141953344
9.25,-0.1494402248062968
9.5,-0.06300760228672338
9.75,0.02717675801196507
10.0,0.11550446510330407
10.25,0.1964915026353128
10.5,0.26512145542527327
10.75,0.31715417552615366
11.0,0.3493887609426087
11.25,0.3598600482637303
11.5,0.3479583731990597
11.75,0.3144649555227909
12.0,0.2615006327042164
12.25,0.19239193790159542
12.5,0.11146213996574039
12.75,0.02376017945550088
13.0,-0.06525337251307504
13.25,-0.15004689733323306
13.5,-0.22536116368801676
13.75,-0.2865353410018327
14.0,-0.3297963552066182
14.25,-0.35249011894698995
14.5,-0.3532457570868509
14.75,-0.33205738562560233
15.0,-0.29028235766282995
15.25,-0.23055421550722954
15.5,-0.15661664184001453
15.75,-0.07308878752978687
16.0,0.014822172547262938
16.25,0.10164781782232066
16.5,0.18199683925055637
16.75,0.25089024088049194
17.0,0.30406989530787676
17.25,0.33826201836845765
17.5,0.35137829301723883
17.75,0.34264345684051756
18.0,0.31264084836371964
18.25,0.2632743045384035
18.5,0.19764647141536085
18.75,0.11986437596163432
19.0,0.03478256771581358
19.25,-0.052300453489893525
19.5,-0.13597166973222924
19.75,-0.21104005732207048
20.0,-0.2728585073507497
20.25,-0.31761197837658073
20.5,-0.3425524160477829
20.75,-0.3461677975167474
21.0,-0.3282734699972181
21.25,-0.2900212760206162
21.5,-0.2338255898896794
21.75,-0.16321061561619307
22.0,-0.08258951886978783
22.25,0.003010344725683096
22.5,0.08826284593493258
22.75,0.16787326923853094
23.0,0.23690676963511909
23.25,0.2910946367368001
23.5,0.32709903529384926
23.75,0.342717652724941
24.0,0.3370183650803338
24.25,0.31039521993196184
24.5,0.2645411368968758
24.75,0.20234035623703994
25.0,0.12768715221650495
25.25,0.045242339484139325
25.5,-0.03985816972998201
25.75,-0.12232290994932636
26.0,-0.19703511824397002
26.25,-0.2593682094142864
26.5,-0.30547331957211155
26.75,-0.3325169846551157
27.0,-0.33885493383526555
27.25,-0.32413230593268305
27.5,-0.2893032048654239
27.75,-0.23656875853054837
28.0,-0.1692380373672761
28.25,-0.09152077748076007
28.5,-0.008264004191989582
28.75,0.07535019659315247
29.0,0.1541268016155682
29.25,0.2231816858288288
29.5,0.27824381802826276
29.75,0.31591939554606435
30.0,0.33390033416835374
30.25,0.3311066716854259
30.5,0.30775080391110765
30.75,0.2653219744858062
31.0,0.20649173964055728
31.25,0.13494513403246888
31.5,0.05515023214867082
31.75,-0.027920869195371224
32.0,-0.10910235010600641
32.25,-0.18335445380610915
32.5,-0.24607801472198584
32.75,-0.2933982403273516
33.0,-0.3224045729686796
33.25,-0.331329849897113
33.5,-0.31965711086348503
33.75,-0.28815006321367725
34.0,-0.2388029318444681
34.25,-0.1747145853244771
34.5,-0.09989386513742357
34.75,-0.01900781229556316
35.0,0.06290748969359156
35.25,0.14076166730422696
35.5,0.20972590669359958
35.75,0.26553317660056863
36.0,0.3047420139143524
36.25,0.3249478012128018
36.5,0.3249309317932138
36.75,0.30473045452402914
37.0,0.2656389024639695
37.25,0.2101199347829055
37.5,0.14165301400684852
37.75,0.06451522744226337
38.0,-0.016485550766245517
38.25,-0.09631014572059612
38.5,-0.17000302690797486
38.75,-0.23299772352638437
39.0,-0.28140121511316196
39.25,-0.31223419263565355
39.5,-0.3236143963379379
39.75,-0.314871312368332
40.0,-0.2865856253599431
40.25,-0.24055115370733504
40.5,-0.17966068734462773
40.75,-0.10772436999214212
41.0,-0.029231074988009635
41.25,0.05093070824011327
41.5,0.12777863064150538
41.75,0.196545585557601
42.0,0.2529743910262501
42.25,0.29358367222376786
42.5,0.3158803188144963
42.75,0.31851362936748545
43.0,0.3013568155939568
43.25,0.2655126798136333
43.5,0.213242934857133
43.75,0.14782503885763157
44.0,0.07334731500747692
44.25,-0.0055468468967460475
44.5,-0.08394876978691163
44.75,-0.15698913311687895
45.0,-0.22014060313924128
45.25,-0.26949958411329467
45.5,-0.30202567304768035
45.75,-0.31572976555766524
46.0,-0.3097959928695047
46.25,-0.2846297795017847
46.5,-0.2418303058524982
46.75,-0.18408928108093597
47.0,-0.11502149361296597
47.25,-0.03893824747798446
47.5,0.03942108346015151
47.75,0.11518502523035834
48.0,0.1836519277027129
48.25,0.24058272977478357
48.5,0.28246259086501674
48.75,0.3067181562831318
49.0,0.31187577429390934
49.25,0.2976509672421948
49.5,0.2649636505349646
49.75,0.21587877266804323
50.0,0.15347604494301015
50.25,0.0816567556846475
50.5,0.004899945675649133
50.75,-0.07201740270119787
51.0,-0.14431711243640719
51.25,-0.20751682847871672
51.5,-0.2577078615405716
51.75,-0.2917969300943304
52.0,-0.3076963876124842
52.25,-0.3044529247447101
52.5,-0.28230388636465137
52.75,-0.2426605123014142
53.0,-0.18801803154740104
53.25,-0.1217989226947582
53.5,-0.048138071267748064
53.75,0.028374745289847098
54.0,0.1029817250930973
54.25,0.17105202204944192
54.5,0.2283695596317169
54.75,0.27139412929758977
55.0,0.2974799877358383
55.25,0.305038421079513
55.5,0.2936346401246092
55.75,0.26401256712124543
56.0,0.2180465232587765
56.25,0.15862215626634524
56.5,0.0894559910617592
56.75,0.014862594731871464
57.0,-0.06051408973764781
57.25,-0.13199073922867943
57.5,-0.19513464078650827
57.75,-0.24603887059383012
58.0,-0.28156468763863834
58.25,-0.2995339005014497
58.5,-0.29886318626418046
58.75,-0.2796292541114253
59.0,-0.24306145356173803
59.25,-0.19146412055919249
59.5,-0.12807029796380617
59.75,-0.0568400887482437
60.0,0.017787525745298637
60.25,0.09117040512048936
60.5,0.15875245729239787
60.75,0.2163467710263431
61.0,0.26039433402458123
61.25,0.2881845306827002
61.5,0.2980215063949342
61.75,0.28932789064266995
62.0,0.26267842285990106
62.25,0.21976205784568803
62.5,0.16327513920092612
62.75,0.09675200805307693
63.0,0.024343584249606812
63.25,-0.04944135402562068
63.5,-0.12001684274714337
63.75,-0.18300497812502547
64.0,-0.23450760292012718
64.25,-0.2713467733644732
64.5,-0.2912614962980062
64.75,-0.2930465578282377
65.0,-0.27662510834068765
65.25,-0.24305129495114258
65.5,-0.19444281787092182
65.75,-0.13384725694724417
66.0,-0.06505100984461822
66.25,0.0076572227831013554
66.5,0.07975348016085368
66.75,0.14676042856490068
67.0,0.20452555148040658
67.25,0.24947800997434127
67.5,0.2788495385130825
67.75,0.29084466423026045
68.0,0.2847508658429101
68.25,0.26098058276196134
68.5,0.22104355181946753
68.75,0.16745077547753162
69.0,0.1035569856386121
69.25,0.03335027334722653
69.5,-0.03879659423502487
69.75,-0.10839835698662736
70.0,-0.17113636904408347
70.25,-0.22312627686946251
70.5,-0.2611588112526341
70.75,-0.2828977222766758
71.0,-0.2870230931878612
71.25,-0.2733117865137429
71.5,-0.24264884438398976
71.75,-0.19697078557777725
72.0,-0.13914314561095242
72.25,-0.07278050751679754
72.5,-0.0020214864472388214
72.75,0.06873041838535537
73.0,0.13508052050080305
73.25,0.19291542383491359
73.5,0.238658820046168
73.75,0.2694917005750731
74.0,0.28352680644645334
74.25,0.27992375670810815
74.5,0.25893939205669136
74.75,0.22190994355228333
75.0,0.1711653691621357
75.25,0.10988369327589745
75.5,0.04189099115058358
75.75,-0.02857633269801834
76.0,-0.0971365264208239
76.25,-0.15953447761297793
76.5,-0.21190548866897488
76.75,-0.2510156814495314
77.0,-0.27446009765247315
77.25,-0.2808119496131646
77.5,-0.2697086825586872
77.75,-0.24187274353821517
78.0,-0.19906440591225216
78.25,-0.14397109621718557
78.5,-0.08003805028095574
78.75,-0.01125281426625024
79.0,0.058102467003389405
79.25,0.12371854224424308
79.5,0.1815264722012515
79.75,0.22795034913297046
80.0,0.26012762399810707
80.25,0.2760862984322423
80.5,0.27486545740088253
80.75,0.25657304474241927
81.0,0.22237740337620515
81.25,0.17443241485967834
81.5,0.11574195909086242
81.75,0.04997173657198265
82.0,-0.018779083872748178
82.25,-0.08623469272398186
82.5,-0.1482072986039788
82.75,-0.20085748002843512
83.0,-0.24093229497198188
83.25,-0.2659659881711428
83.5,-0.27443178073219554
83.75,-0.26583480872882803
84.0,-0.24074106637746834
84.25,-0.2007403598598999
84.5,-0.14834518826256976
84.75,-0.08683313969532272
85.0,-0.02004279000236122
85.25,0.047867223754672714
85.5,0.11267678244250447
85.75,0.17036571992170196
86.0,0.21736412496937327
86.25,0.2507724223269455
86.5,0.2685407877307664
86.75,0.26959493102465465
87.0,0.25390062502017074
87.25,0.2224642273615538
87.5,0.1772678997656584
87.75,0.12114495764873925
88.0,0.05760178775567747
88.25,-0.009400247503234342
88.5,-0.07569264338743042
88.75,-0.13715913871384156
89.0,-0.18999066911104096
89.25,-0.2309214552084211
89.5,-0.25743139693149464
89.75,-0.26790074561971833
90.0,-0.2617093185953594
90.25,-0.2392729214677503
90.5,-0.20201567858010455
90.75,-0.152279615832543
91.0,-0.09317756681460812
91.25,-0.028398465007204166
91.5,0.03802344395566541
91.75,0.10195887629989911
92.0,0.15944107777602418
92.25,0.20691183274938357
92.5,0.24144066408311143
92.75,0.2609072686430173
93.0,0.2641305928334033
93.25,0.25094082377971205
93.5,0.22218811357706197
93.75,0.17968772927826526
94.0,0.126105133565286
94.25,0.06478960337148063
94.5,-0.0004352633315969346
94.75,-0.0655108160207734
95.0,-0.1263953138771492
95.25,-0.1793145115022205
95.5,-0.2209959484730309
95.75,-0.2488716803972042
96.0,-0.26123610489208576
96.25,-0.2573501537106086
96.5,-0.23748562490160777
96.75,-0.20290648891165636
97.0,-0.155788299262357
97.25,-0.09908123294126508
97.5,-0.03632581262491603
97.75,0.02856851095816474
98.0,0.09156649258707801
98.25,0.1487587538968914
98.5,0.19660336566078956
98.75,0.2321458975858378
99.0,0.2532016926073392
99.25,0.25848994591504504
99.5,0.24771167261551458
99.75,0.2215665558551101
100.0,0.18170731633256731
100.25,0.1306357250887864
100.5,0.07154521579341065
100.75,0.008121166919740005
101.0,-0.055688470968438764
101.25,-0.11591957788624022
101.5,-0.16883699442276232
101.75,-0.21116781222337133
102.0,-0.24030198735127467
102.25,-0.2544547562741196
102.5,-0.25277507706661306
102.75,-0.2353969645574106
103.0,-0.2034292951294023
103.25,-0.1588849883487959
103.5,-0.10455494512776953
103.75,-0.0438318322700567
104.0,0.01950003597557831
104.25,0.08150228096536156
104.5,0.13832537244389922
104.75,0.1864496225720924
105.0,0.22290205421755424
105.25,0.24544019606076256
105.5,0.2526901044972782
105.75,0.24423008160194604
106.0,0.22061505666449965
106.25,0.1833403700340176
106.5,0.1347469314616696
106.75,0.07787452761227637
107.0,0.016271298497912996
107.25,-0.046227157153425444
107.5,-0.10573707564531208
107.75,-0.15856735539235103
108.0,-0.20144896622056252
108.25,-0.2317367846282961
108.5,-0.2475730613712111
108.75,-0.24800121288344412
109.0,-0.23302353334996465
109.25,-0.20359920647285182
109.5,-0.16158306659931576
109.75,-0.10960848821757961
110.0,-0.05092279675608018
110.25,0.010816029451138446
110.5,0.07176734944486497
110.75,0.12814657178635472
111.0,0.17646003875360217
111.25,0.21372169816330278
111.5,0.23763784616238187
111.75,0.24674786288075748
112.0,0.24051355115238046
112.25,0.21935095950044348
112.5,0.18460265544855828
112.75,0.13845254266624518
113.0,0.08378870497331839
113.25,0.02402245593572644
113.5,-0.03712396220009193
113.75,-0.09584968792179312
114.0,-0.14851170736682306
114.25,-0.1918496989934351
114.5,-0.22318949633565965
114.75,-0.2406067094632297
115.0,-0.24304553809483215
115.25,-0.2303825244511692
115.5,-0.203432522780214
115.75,-0.16389644096418232
116.0,-0.1142536732855093
116.25,-0.057606714372259255
116.5,0.002512377373772854
116.75,0.0623629634620521
117.0,0.11822733689339579
117.25,0.16664306455449368
117.5,0.20461691561206963
117.75,0.22980922880971721
118.0,0.24067929571443714
118.25,0.23657872800732205
118.5,0.21779027184226885
118.75,0.18550867399949517
119.0,0.14176437504655215
119.25,0.0892959776648433
119.5,0.03137903662553107
119.75,-0.028378467625262076
120.0,-0.08626122289491717
120.25,-0.13867715099116812
120.5,-0.18238087348310647
120.75,-0.2146737433280998
121.0,-0.23357111328211647
121.25,-0.23792423241692492
121.5,-0.22749004585373617
121.75,-0.20294440005792533
122.0,-0.16583843952642394
122.25,-0.11850066330889591
122.5,-0.06389075326109023
122.75,-0.005414454793185592
123.0,0.053288583891566106
123.25,0.10857143369622795
123.5,0.15700674507320464
123.75,0.19559848233417285
124.0,0.22196792941419358
124.25,0.23449996717920008
124.5,0.23244210865036222
124.75,0.21594951228496026
125.0,0.18607375964435813
125.25,0.14469560926427116
125.5,0.09440694724389001
125.75,0.0383482741236053
126.0,-0.019987350599971643
126.25,-0.07697212689549471
126.5,-0.12906884326466408
126.75,-0.1730506429525684
127.0,-0.2062006443585545
127.25,-0.22648005781401306
127.5,-0.23265326440344342
127.75,-0.22436322426225527
128.0,-0.20215195064723845
128.25,-0.16742524219883664
128.5,-0.1223636966205732
128.75,-0.06978569950036431
129.0,-0.012971231475342357
129.25,0.044542345334155325
129.5,0.09918160703256737
129.75,0.14755736930327254
130.0,0.18667670959231367
130.25,0.21412691661847055
130.5,0.22822479047336813
130.75,0.2281196171907516
131.0,0.21384456691226006
131.25,0.18631291548005818
131.5,0.14725964267096367
131.75,0.09913234885953523
132.0,0.04493713567904092
132.25,-0.011947822931058835
132.5,-0.06798381992370424
132.75,-0.11969204594848515
133.0,-0.163868478977982
133.25,-0.19778306832511422
133.5,-0.21934833337697035
133.75,-0.22724797837545985
134.0,-0.22101681029029763
134.25,-0.2010684704288948
134.5,-0.16866778448079855
134.75,-0.1258507113286222
135.0,-0.07529636720579708
135.25,-0.020159399362740034
135.5,0.03612626747391978
135.75,0.09006240473009074
136.0,0.13830300647922372
136.25,0.17786249969123372
136.5,0.20629947274941715
136.75,0.22186850933617763
137.0,0.22362659751036684
137.25,0.21149039558329857
137.5,0.18623978411485684
137.75,0.14946786781481225
138.0,0.10348025278122654
138.25,0.05115096546641422
138.5,-0.004257548011818668
138.75,-0.0592977687758376
139.0,-0.11055152865635948
139.25,-0.15484211280819069
139.5,-0.1894314347757691
139.75,-0.21218895640924595
140.0,-0.2217232316764562
140.25,-0.21746688410299725
140.5,-0.19971012098967267
140.75,-0.16958122372421391
141.0,-0.12897480765308061
141.25,-0.08043308884505748
141.5,-0.02698608739737906
141.75,0.02803712094558391
142.0,0.08121564252673269
142.25,0.1292496402281693
142.5,0.1691650024501546
142.75,0.19849764189118158
143.0,0.21544516532201374
143.25,0.21897817417335547
143.5,0.2089023446429219
143.75,0.18586905477193164
144.0,0.1513333393213721
144.25,0.10746199775577131
144.5,0.05699767079089856
144.75,0.0030873929605215638
145.0,-0.05091364564249445
145.25,-0.10165090481929608
145.5,-0.14597886547892572
145.75,-0.18115602772607975
146.0,-0.2050144468875873
146.25,-0.21609332452525998
146.5,-0.21372842351188492
146.75,-0.19809183587106305
147.0,-0.17017972658543268
147.25,-0.1317489145267568
147.5,-0.08520627316095877
147.75,-0.03345806312780955
148.0,0.020271749912117085
148.25,0.07264153859487016
148.5,0.12040077060049292
148.75,0.16059171711647907
149.0,0.19073177332777072
149.25,0.20896763959445624
149.5,0.21418897629796996
149.75,0.2060957759664382
150.0,0.18521570215777527
150.25,0.15286974774673096
150.5,0.11108855273436789
150.75,0.06248514589996233
151.0,0.010091343676519924
151.25,-0.04283105362468843
151.5,-0.09299378319235188
151.75,-0.13728580296309356
152.0,-0.17296733061459998
152.25,-0.1978377093816555
152.5,-0.21037233175595943
152.75,-0.2098157833982473
153.0,-0.1962271408865375
153.25,-0.17047479103526184
153.5,-0.13418141748261414
153.75,-0.08962094081914296
154.0,-0.03957702223902411
154.25,0.012831437730484847
154.5,0.06434472476845676
154.75,0.11176465566387671
155.0,0.15215316189872718
155.25,0.18301458961975708
155.5,0.20244992297487435
155.75,0.20927321405909835
156.0,0.2030843202902861
156.25,0.18429206860005812
156.5,0.15408720500353446
156.75,0.11436751766241998
157.0,0.06761800358136001
157.25,0.01675597065513642
157.5,-0.03505154790948373
157.75,-0.08458476626793186
158.0,-0.1287709065353439
158.25,-0.16487550008705243
158.5,-0.19067078066404203
158.75,-0.20457389979744134
159.0,-0.20574340730062424
159.25,-0.19413062147164845
159.5,-0.17048075583798897
159.75,-0.13628544736122547
160.0,-0.09368860279197332
