9.836000000000000298e-01,3.544009029333873313e-03
9.735999999999999099e-01,1.600000000000001378e-03
9.304000000000000048e-01,3.969886648255844565e-03
8.579999999999999849e-01,4.560701700396529307e-03
7.704000000000000847e-01,7.573638491504601500e-03
6.748000000000000664e-01,4.715930449020629828e-03
5.667999999999999705e-01,9.728309205612246935e-03
4.211999999999999633e-01,1.137717012266232369e-02
2.920000000000000373e-01,8.024961059095558902e-03
1.232000000000000178e-01,9.156418513807667789e-03
-2.32E-02,2.532666578924278045e-02
-1.52E-01,1.764539600009022019e-02
-3.05E-01,4.270831300812516496e-03
-4.22E-01,1.536749816983884638e-02
-5.22E-01,7.413501197140244525e-03
-6.20E-01,6.228964600958979657e-03
-6.83E-01,8.014985963805556710e-03
-7.32E-01,5.549774770204623543e-03
-7.62E-01,1.144377560073595208e-02
-7.66E-01,6.337191807101945872e-03
-7.54E-01,1.254432142445336198e-02
-7.29E-01,6.019966777316949381e-03
-6.44E-01,9.495261976375382953e-03
-5.91E-01,1.610714127336072138e-02
-5.40E-01,2.523014070511696294e-02
-4.40E-01,1.606735821471592593e-02
-3.95E-01,1.707161386629860861e-02
-2.52E-01,1.772455923288363683e-02
-1.48E-01,1.633891061240007672e-02
-4.68E-02,1.954072670091878614e-02
3.600000000000003197e-02,5.966573556070524018e-03
1.199999999999999956e-01,2.113764414498453884e-02
2.176000000000000156e-01,1.301383878799794620e-02
2.880000000000000338e-01,1.356465996625054633e-02
3.512000000000000677e-01,2.778920653779089200e-02
4.327999999999999625e-01,2.033322404342212744e-02
4.716000000000001302e-01,2.084610275327261272e-02
4.871999999999999664e-01,1.063202708800162037e-02
5.376000000000000778e-01,1.243221621433603097e-02
5.395999999999999686e-01,5.635601121442136360e-03
