threshold,stable
0.001,False
0.0010040000000000001,False
0.001008,False
0.001012,False
0.001016,False
0.00102,False
0.001024,False
0.001028,False
0.001032,False
0.001036,False
0.0010400000000000001,False
0.001044,False
0.001048,False
0.001052,False
0.001056,False
0.00106,False
0.001064,False
0.001068,False
0.001072,False
0.0010760000000000001,False
0.00108,False
0.0010840000000000001,False
0.001088,False
0.001092,False
0.001096,False
0.0011,False
0.001104,False
0.001108,False
0.0011120000000000001,False
0.001116,False
0.0011200000000000001,False
0.001124,False
0.001128,False
0.001132,False
0.001136,False
0.00114,False
0.001144,False
0.0011480000000000001,False
0.001152,False
0.0011560000000000001,False
0.00116,False
0.001164,False
0.001168,False
0.001172,False
0.001176,False
0.00118,False
0.0011840000000000002,False
0.001188,False
0.0011920000000000001,False
0.001196,False
0.0012000000000000001,False
0.001204,False
0.001208,False
0.001212,False
0.001216,False
0.0012200000000000002,False
0.001224,False
0.0012280000000000001,False
0.001232,False
0.0012360000000000001,False
0.00124,False
0.001244,False
0.001248,False
0.001252,False
0.0012560000000000002,False
0.00126,False
0.001264,False
0.001268,False
0.0012720000000000001,False
0.001276,False
0.00128,False
0.001284,False
0.001288,False
0.0012920000000000002,False
0.001296,False
0.0013,False
0.001304,False
0.0013080000000000001,False
0.001312,False
0.0013160000000000001,False
0.00132,False
0.001324,False
0.0013280000000000002,False
0.001332,False
0.001336,False
0.00134,False
0.0013440000000000001,False
0.001348,False
0.0013520000000000001,False
0.001356,True
0.00136,True
0.0013640000000000002,True
0.001368,True
0.001372,True
0.001376,True
0.0013800000000000002,True
0.001384,True
0.0013880000000000001,True
0.001392,True
0.001396,True
0.0014000000000000002,True
0.001404,True
0.001408,True
0.001412,True
0.0014160000000000002,True
0.00142,True
0.0014240000000000001,True
0.001428,True
0.0014320000000000001,True
0.0014360000000000002,True
0.00144,True
0.001444,True
0.001448,True
0.0014520000000000002,True
0.001456,True
0.0014600000000000001,True
0.001464,True
0.0014680000000000001,True
0.0014720000000000002,True
0.001476,True
0.00148,True
0.001484,True
0.0014880000000000002,True
0.001492,True
0.0014960000000000002,True
0.0015,True
0.0015040000000000001,True
0.0015080000000000002,True
0.001512,True
0.001516,True
0.00152,True
0.0015240000000000002,True
0.001528,True
0.0015320000000000002,True
0.001536,True
0.0015400000000000001,True
0.0015440000000000002,True
0.0015480000000000001,True
0.001552,True
0.001556,True
0.0015600000000000002,True
0.001564,True
0.0015680000000000002,True
0.001572,True
0.0015760000000000001,True
0.0015800000000000002,True
0.0015840000000000001,True
0.001588,True
0.001592,True
0.0015960000000000002,True
0.0016,True
0.0016040000000000002,True
0.001608,True
0.0016120000000000002,True
0.0016160000000000002,True
0.0016200000000000001,True
0.001624,True
0.001628,True
0.0016320000000000002,True
0.001636,True
0.0016400000000000002,True
0.001644,True
0.0016480000000000002,True
0.0016520000000000003,True
0.0016560000000000001,True
0.00166,True
0.0016640000000000001,True
0.0016680000000000002,True
0.001672,True
0.001676,True
0.00168,True
0.0016840000000000002,True
0.0016880000000000003,True
0.0016920000000000001,True
0.001696,True
0.0017000000000000001,True
0.0017040000000000002,True
0.001708,True
0.001712,True
0.001716,True
0.0017200000000000002,True
0.0017240000000000003,True
0.0017280000000000002,True
0.001732,True
0.0017360000000000001,True
0.0017400000000000002,True
0.001744,True
0.001748,True
0.001752,True
0.0017560000000000002,True
0.0017600000000000003,True
0.0017640000000000002,True
0.001768,True
0.0017720000000000001,True
0.0017760000000000002,True
0.0017800000000000001,True
0.001784,True
0.001788,True
0.0017920000000000002,True
0.0017960000000000003,True
0.0018000000000000002,True
0.001804,True
0.0018080000000000001,True
0.0018120000000000002,True
0.0018160000000000001,True
0.00182,True
0.001824,True
0.0018280000000000002,True
0.0018320000000000003,True
0.0018360000000000002,True
0.00184,True
0.0018440000000000002,True
0.0018480000000000003,True
0.0018520000000000001,True
0.001856,True
0.00186,True
0.0018640000000000002,True
0.0018680000000000003,True
0.0018720000000000002,True
0.001876,True
0.0018800000000000002,True
0.0018840000000000003,True
0.0018880000000000001,True
0.001892,True
0.0018960000000000001,True
0.0019000000000000002,True
0.0019040000000000003,True
0.0019080000000000002,True
0.001912,True
0.0019160000000000002,True
0.0019200000000000003,True
0.0019240000000000001,True
0.001928,False
0.0019320000000000001,False
0.0019360000000000002,False
0.0019400000000000003,False
0.0019440000000000002,False
0.001948,False
0.0019520000000000002,False
0.0019560000000000003,False
0.00196,False
0.001964,False
0.001968,False
0.0019720000000000002,False
0.0019760000000000003,False
0.00198,False
0.001984,False
0.001988,False
0.0019920000000000003,False
0.0019960000000000004,False
0.002,False
0.002004,False
0.0020080000000000002,False
0.002012,False
0.0020160000000000004,False
0.00202,False
0.002024,False
0.0020280000000000003,False
0.002032,False
0.0020360000000000005,False
0.00204,False
0.0020440000000000002,False
0.0020480000000000003,False
0.002052,False
0.002056,False
0.00206,False
0.0020640000000000003,False
0.0020680000000000004,False
0.002072,False
0.002076,False
0.0020800000000000003,False
0.002084,False
0.0020880000000000004,False
0.002092,False
0.002096,False
0.0021000000000000003,False
0.002104,False
0.0021080000000000005,False
0.002112,False
0.0021160000000000003,False
0.0021200000000000004,False
0.002124,False
0.002128,False
0.002132,False
0.0021360000000000003,False
0.0021400000000000004,False
0.002144,False
0.002148,False
0.0021520000000000003,False
0.002156,False
0.0021600000000000005,False
0.002164,False
0.0021680000000000002,False
0.0021720000000000003,False
0.002176,False
0.0021800000000000005,False
0.002184,False
0.0021880000000000003,False
0.0021920000000000004,False
0.002196,False
0.0022,False
