start_us,end_us,stable
40,60,True
40,61,True
40,62,True
40,63,True
40,64,True
40,65,True
40,66,True
40,67,True
40,68,True
40,69,True
41,60,True
41,61,True
41,62,True
41,63,True
41,64,True
41,65,True
41,66,True
41,67,True
41,68,True
41,69,True
42,60,True
42,61,True
42,62,True
42,63,True
42,64,True
42,65,True
42,66,True
42,67,True
42,68,True
42,69,True
43,60,True
43,61,True
43,62,True
43,63,True
43,64,True
43,65,True
43,66,True
43,67,True
43,68,True
43,69,True
44,60,True
44,61,True
44,62,True
44,63,True
44,64,True
44,65,True
44,66,True
44,67,True
44,68,True
44,69,True
45,60,True
45,61,True
45,62,True
45,63,True
45,64,True
45,65,True
45,66,True
45,67,True
45,68,True
45,69,True
46,60,True
46,61,True
46,62,True
46,63,True
46,64,True
46,65,True
46,66,True
46,67,True
46,68,True
46,69,True
47,60,True
47,61,True
47,62,True
47,63,True
47,64,True
47,65,True
47,66,True
47,67,True
47,68,True
47,69,True
48,60,True
48,61,True
48,62,True
48,63,True
48,64,True
48,65,True
48,66,True
48,67,True
48,68,True
48,69,True
49,60,True
49,61,True
49,62,True
49,63,True
49,64,True
49,65,True
49,66,True
49,67,True
49,68,True
49,69,True
